+-----------+---------+-----------------+--------------+-------------+--------------+-------------+------------+
|  caching  | machine |     device      |    master    |   melanie   |    thomas    | melanie_pct | thomas_pct |
+-----------+---------+-----------------+--------------+-------------+--------------+-------------+------------+
| cached    | 8192      | xeon    | wd-sn640        | 37791.1555  | 36221.131   | 35737.9075  | 95          | 94         |
| cached-os | 256       | ryzen   | nvme            | 50263.8885  | 48745.8275  | 48379.522   | 96          | 96         |
| cached-os | 256       | ryzen   | raid-nvme       | 50142.3535  | 48698.577   | 48318.157   | 97          | 96         |
| cached-os | 256       | ryzen   | raid-sata       | 50329.3465  | 48840.626   | 48381.429   | 97          | 96         |
| cached-os | 256       | xeon    | samsung-990-pro | 147850.9545 | 138742.8505 | 138109.037  | 93          | 93         |
| cached-os | 256       | xeon    | wd-sn640        | 148256.619  | 138655.4865 | 136815.3085 | 93          | 92         |
| cached-os | 2048      | ryzen   | nvme            | 50306.256   | 48677.384   | 48129.625   | 96          | 95         |
| cached-os | 2048      | ryzen   | raid-nvme       | 50224.091   | 48533.1     | 47999.4415  | 96          | 95         |
| cached-os | 2048      | ryzen   | raid-sata       | 50235.2985  | 48622.716   | 48129.27    | 96          | 95         |
| cached-os | 2048      | xeon    | samsung-990-pro | 148101.1275 | 138796.307  | 137927.839  | 93          | 93         |
| cached-os | 2048      | xeon    | wd-sn640        | 148231.9765 | 138878.267  | 136337.7105 | 93          | 91         |
| cached-os | 8192      | ryzen   | nvme            | 50174.5715  | 48535.8515  | 47981.4805  | 96          | 95         |
| cached-os | 8192      | ryzen   | raid-nvme       | 50100.628   | 48505.0805  | 47874.4805  | 96          | 95         |
| cached-os | 8192      | ryzen   | raid-sata       | 50169.0735  | 48560.79    | 48049.8315  | 96          | 95         |
| cached-os | 8192      | xeon    | samsung-990-pro | 147933.1665 | 138633.056  | 137796.2275 | 93          | 93         |
| cached-os | 8192      | xeon    | wd-sn640        | 148089.555  | 138748.377  | 136027.523  | 93          | 91         |
| uncached  | 256       | ryzen   | nvme            | 263792.151  | 199978.485  | 180240.2665 | 75          | 68         |
| uncached  | 256       | ryzen   | raid-nvme       | 239054.2525 | 180723.7415 | 161259.4855 | 75          | 67         |
| uncached  | 256       | ryzen   | raid-sata       | 644252.36   | 490356.5255 | 480445.8585 | 76          | 74         |
| uncached  | 256       | xeon    | samsung-990-pro | 320640.937  | 296288.5855 | 281399.511  | 92          | 87         |
| uncached  | 256       | xeon    | wd-sn640        | 357424.223  | 305777.334  | 282278.124  | 85          | 78         |
| uncached  | 2048      | ryzen   | nvme            | 243389.7675 | 185427.723  | 169027.091  | 76          | 69         |
| uncached  | 2048      | ryzen   | raid-nvme       | 223150.381  | 166891.3305 | 144214.7925 | 74          | 64         |
| uncached  | 2048      | ryzen   | raid-sata       | 568422.3055 | 438113.7065 | 403918.8135 | 77          | 71         |
| uncached  | 2048      | xeon    | samsung-990-pro | 322095.121  | 290224.6125 | 283968.0105 | 90          | 88         |
| uncached  | 2048      | xeon    | wd-sn640        | 363045.615  | 295201.6945 | 273173.6485 | 81          | 75         |
| uncached  | 8192      | ryzen   | nvme            | 233982.707  | 180744.6635 | 164771.753  | 77          | 70         |
| uncached  | 8192      | ryzen   | raid-nvme       | 213350.4775 | 161933.5465 | 140798.4855 | 75          | 65         |
| uncached  | 8192      | ryzen   | raid-sata       | 531017.363  | 413478.087  | 378505.9035 | 77          | 71         |
| uncached  | 8192      | xeon    | samsung-990-pro | 324084.68   | 290493.0085 | 288131.432  | 89          | 88         |
| uncached  | 8192      | xeon    | wd-sn640        | 360413.9035 | 294110.21   | 270943.2615 | 81          | 75         |
+-----------+-----------+---------+-----------------+-------------+-------------+-------------+-------------+------------+
+-----------+-----+----------+---------+-----------------+-------------+-------------+------------+-------------+------------+
|  caching  | eic | nmatches | machine |     device      |   master    |   melanie   |   thomas   | melanie_pct | thomas_pct |
+-----------+-----+----------+---------+-----------------+-------------+-------------+------------+-------------+------------+
| cached    | 0   | 2        | ryzen   | nvme            | 167.132     | 158.243     | 163.9105   | 94          | 98         |
| cached    | 0   | 2        | ryzen   | raid-nvme       | 169.03      | 173.813     | 167.446    | 102         | 99         |
| cached    | 0   | 2        | ryzen   | raid-sata       | 164.7705    | 165.481     | 171.8755   | 100         | 104        |
